Fever,Cough,Fatigue,Headache,Nausea,Rash,Body_Pain,Vomiting,Diarrhea,Breathlessness,Disease,Symptoms_List
1,1,1,1,1,1,0,1,0,1,COVID-19,"Cough, Fatigue, Headache, Nausea, Rash, Vomiting, Breathlessness"
0,1,1,0,0,0,0,0,0,0,COVID-19,"Cough, Fatigue"
1,0,0,0,1,0,1,1,0,1,Chickenpox,"Nausea, Body_Pain, Vomiting, Breathlessness"
0,0,0,1,1,0,0,0,0,1,Malaria,"Headache, Nausea, Breathlessness"
1,0,1,1,0,1,0,1,1,1,COVID-19,"Fatigue, Headache, Rash, Vomiting, Diarrhea, Breathlessness"
1,0,0,0,1,0,0,1,1,1,Flu,"Nausea, Vomiting, Diarrhea, Breathlessness"
1,1,0,1,1,1,1,0,0,1,Malaria,"Cough, Headache, Nausea, Rash, Body_Pain, Breathlessness"
1,1,1,0,0,0,0,1,1,1,Dengue,"Cough, Fatigue, Vomiting, Diarrhea, Breathlessness"
0,1,0,1,0,1,1,1,0,1,Malaria,"Cough, Headache, Rash, Body_Pain, Vomiting, Breathlessness"
0,1,0,0,1,1,1,1,1,1,Food Poisoning,"Cough, Nausea, Rash, Body_Pain, Vomiting, Diarrhea, Breathlessness"
1,1,0,1,0,1,0,0,0,1,Chickenpox,"Cough, Headache, Rash, Breathlessness"
1,1,0,0,1,0,0,0,1,1,COVID-19,"Cough, Nausea, Diarrhea, Breathlessness"
1,0,1,1,1,1,1,1,1,0,Sinusitis,"Fatigue, Headache, Nausea, Rash, Body_Pain, Vomiting, Diarrhea"
1,0,0,1,0,0,0,1,1,1,Flu,"Headache, Vomiting, Diarrhea, Breathlessness"
0,0,1,0,1,0,1,1,1,0,Dengue,"Fatigue, Nausea, Body_Pain, Vomiting, Diarrhea"
1,0,0,0,1,0,0,1,1,0,Chickenpox,"Nausea, Vomiting, Diarrhea"
0,0,1,0,1,0,1,0,1,0,COVID-19,"Fatigue, Nausea, Body_Pain, Diarrhea"
0,0,0,1,0,1,1,1,0,0,Malaria,"Headache, Rash, Body_Pain, Vomiting"
0,1,1,0,0,0,0,0,1,0,COVID-19,"Cough, Fatigue, Diarrhea"
0,0,1,1,1,1,1,1,0,1,Dengue,"Fatigue, Headache, Nausea, Rash, Body_Pain, Vomiting, Breathlessness"
1,0,1,0,1,1,0,1,1,1,Common Cold,"Fatigue, Nausea, Rash, Vomiting, Diarrhea, Breathlessness"
